id,label,b,se,n,clusters,stars,description,sourceFile,sourceColumn
"va","Baseline cohort value added","14.05","2.471","6142","315","3","Controls for grade-4 achievement and subject × cohort fixed effects. Weighted by grade-10 tested students; standard errors clustered by commune.","Paper/Latex/tables/tab_cohort_va.tex","1"
"va-initial","Also control for grade-4 private share","14.94","3.833","6142","315","3","Adds the cohort’s grade-4 private share to the baseline specification. Weighted by grade-10 tested students; standard errors clustered by commune.","Paper/Latex/tables/tab_cohort_va.tex","2"
"va-reading","Reading only","9.114","1.948","3070","315","3","Reading outcome with reading baseline achievement and cohort fixed effects. Weighted by grade-10 tested students; standard errors clustered by commune.","Paper/Latex/tables/tab_cohort_va.tex","3"
"va-math","Math only","18.4","3.156","3072","314","3","Math outcome with math baseline achievement and cohort fixed effects. Weighted by grade-10 tested students; standard errors clustered by commune.","Paper/Latex/tables/tab_cohort_va.tex","4"
"va-commune","Cohort value added + commune fixed effects","0.4","4.39","","","0","Adds commune fixed effects to the cohort design. The near-zero estimate is imprecise. This removes persistent differences across communes and uses much less private-share variation. Observation and cluster counts are not reported in the source paragraph.","Paper/Latex/findings.tex",""
"panel","Panel: commune fixed effects","10.52","2.9","19221","336","3","Main panel specification, with commune and grade × subject × year fixed effects. Weighted by tested students; errors clustered by commune.","Paper/Latex/tables/tab_panel_full.tex","1"
"panel-4","Panel: grade 4","4.32","4.1","11293","336","0","Grade-4 sample. Commune and subject × year fixed effects; tested-student weights and commune-clustered standard errors.","Paper/Latex/tables/tab_panel_full.tex","2"
"panel-10","Panel: grade 10","6.17","3.01","7927","315","2","Grade-10 sample. Commune and subject × year fixed effects; tested-student weights and commune-clustered standard errors.","Paper/Latex/tables/tab_panel_full.tex","3"
"panel-reading","Panel: reading","9.41","2.29","9609","335","3","Reading sample, with commune and grade × year fixed effects. Tested-student weights and commune-clustered standard errors.","Paper/Latex/tables/tab_panel_full.tex","4"
"panel-math","Panel: math","11.63","3.71","9610","335","3","Math sample, with commune and grade × year fixed effects. Tested-student weights and commune-clustered standard errors.","Paper/Latex/tables/tab_panel_full.tex","5"
"panel-strict","Panel: commune × grade fixed effects","5.42","2.74","19220","336","2","Robustness specification replacing commune fixed effects with commune × grade fixed effects. The estimation sample differs by one observation.","Paper/Latex/tables/tab_panel_full.tex","6"
"ld-4","Long difference: grade 4","4.16","4.46","333","333","0","Grade-4 long difference with baseline controls. This is the grade corresponding to Hsieh and Urquiola’s test-score evidence.","Paper/Latex/tables/tab_hu_benchmark.tex","1"
"ld-10","Long difference: grade 10","11.45","5.67","294","294","2","Grade-10 long difference with baseline controls. This extends the comparison to a later grade.","Paper/Latex/tables/tab_hu_benchmark.tex","2"
"market-panel-gs","Panel: Greater Santiago as one market","8.41","2.81","17601","309","3","Main commune-FE panel specification with retained Greater Santiago communes aggregated into one market.","Paper/Latex/tables/tab_robust_market.tex","2"
"market-panel-rm","Panel: Metropolitan Region excluded","10.32","3.14","16523","291","3","Main commune-FE panel specification excluding the Metropolitan Region.","Paper/Latex/tables/tab_robust_market.tex","3"
"market-va-gs","Cohort VA: Greater Santiago as one market","16.62","2.42","5602","288","3","Cohort value added with retained Greater Santiago communes aggregated into one market.","Paper/Latex/tables/tab_robust_market.tex","4"
"market-va-rm","Cohort VA: Metropolitan Region excluded","17.72","2.79","5242","270","3","Cohort value added excluding the Metropolitan Region.","Paper/Latex/tables/tab_robust_market.tex","5"
"exposure-4","Exposure measured at grade 4","12.41","3.36","6142","315","3","Private share at grade 4, controlling for baseline achievement and subject × cohort fixed effects. Common sample; grade-10 tested-student weights and commune-clustered errors.","Paper/Latex/tables/tab_exposure.tex","1"
"exposure-510","Average exposure in grades 5–10","15.17","3.18","6142","315","3","Average annual private share over grades 5–10. Same baseline control, weights, fixed effects, and common sample.","Paper/Latex/tables/tab_exposure.tex","2"
"exposure-59","Average exposure in grades 5–9","14.57","3.29","6142","315","3","Average private share over grades 5–9, measured entirely before the outcome year. Same baseline control, weights, fixed effects, and common sample.","Paper/Latex/tables/tab_exposure.tex","4"
"exposure-10","Exposure measured at grade 10","14.05","2.47","6142","315","3","Endpoint private share. Same baseline control, weights, fixed effects, and common sample. This table rounds the baseline standard error to 2.47.","Paper/Latex/tables/tab_exposure.tex","5"
